,EField,Pressure,TownsendAlpha,TownsendAlpha_err,Attachment,Attachment_err
0,1000.0,750.062,0.0,0.0,0.0,0.0
1,1193.776641714437,750.062,0.0,0.0,0.0,0.0
2,1425.1026703029977,750.062,0.0,0.0,0.0,0.0
3,1701.2542798525892,750.062,0.0,0.0,0.0,0.0
4,2030.9176209047348,750.062,0.0,0.0,0.0,0.0
5,2424.462017082328,750.062,0.0,0.0,0.0,0.0
6,2894.2661247167516,750.062,0.0,0.0,0.0,0.0
7,3455.1072945922183,750.062,0.0,0.0,0.0,0.0
8,4124.626382901352,750.062,0.0,0.0,0.0,0.0
9,4923.882631706741,750.062,0.0,0.0,0.006722864344544319,0.006567741951663438
10,5878.0160722749115,750.062,0.0,0.0,0.014658832482934717,0.008268000369452414
11,7017.03828670383,750.062,0.0,0.0,0.09071888145980603,0.018479724896290704
12,8376.776400682924,750.062,0.0,0.0,0.2556491517886468,0.029231066363424887
13,10000.0,750.062,0.0,0.0,0.9135266886507765,0.05381664573350259
14,11937.766417144358,750.062,0.06948315029896555,0.014812609921979967,1.902514829614533,0.07750966523538337
15,14251.026703029993,750.062,0.5495965481349605,0.0423148485876921,3.550188882362478,0.10754655982726159
16,17012.54279852589,750.062,2.244197303092574,0.08755662215120621,5.529959861687443,0.137442001208452
17,20309.17620904735,750.062,7.303272166163309,0.16152902946545417,7.314502210498773,0.16165317117415792
18,24244.62017082331,750.062,18.62672923505502,0.26177904052293033,9.01268479957753,0.1820931724028766
19,28942.661247167518,750.062,40.93312187962757,0.39006343722926573,9.479659244054568,0.18771292297119793
20,34551.072945922184,750.062,79.52913717239369,0.5423217228679301,9.888830542971581,0.1912345387242135
21,41246.26382901348,750.062,143.50383405650945,0.7219522730636335,9.556012711252128,0.18630096105545693
22,49238.82631706742,750.062,238.7462581665883,0.9204288187235515,9.034968656089353,0.17905450252494343
23,58780.16072274912,750.062,377.6728679296578,1.1417065259812675,8.317590809960386,0.16943197214803093
24,70170.38286703837,750.062,568.2624423557328,1.3806210093662217,7.085443908496451,0.15416419989050753
25,83767.76400682924,750.062,827.4260117947769,1.6437195983504946,6.415109937252497,0.14473221218136956
26,100000.0,750.062,1175.40465306868,1.9319002353080716,5.283345568128733,0.12952258437500472
27,119377.66417144357,750.062,1620.9999778757247,2.237275040167496,4.772262242381354,0.12139198789832877
28,142510.26703029993,750.062,2176.9370850277187,2.556353974729505,4.177059976155148,0.11197818048648613
29,170125.42798525892,750.062,2855.1175868984224,2.878283124912166,3.1832169576764677,0.09610691388605648
30,203091.7620904739,750.062,3648.386182638568,3.1939349313144056,2.657266714408837,0.08619721552371634
31,242446.20170823307,750.062,4566.355228212905,3.4982113955312504,2.0554646984554346,0.07421919075228196
32,289426.61247167515,750.062,5579.6980107028585,3.773218290179557,1.5560110849576703,0.06301050018098947
33,345510.7294592218,750.062,6666.712954195325,4.009882515900758,1.1169927248473057,0.05190401368114302
34,412462.6382901348,750.062,7797.121562774699,4.200514901318012,0.822766808320238,0.04314930040338373
35,492388.26317067415,750.062,8929.389863553326,4.339853793835463,0.7050105725209354,0.03856221939376251
36,587801.6072274912,750.062,10009.583680575324,4.421050876324948,0.443988047651507,0.0294444295494764
37,701703.8286703837,750.062,10962.608839663922,4.43268179938141,0.3192601038415446,0.023921142749631582
38,837677.6400682924,750.062,11662.017497536646,4.353934864474675,0.2043844953019411,0.018227162135693913
39,1000000.0,750.062,11981.5253586934,4.160727405696787,0.1377667274947218,0.014108647373609428
